variableName,question,type,choices,startLabel,endLabel,pipeId,disabled,private,required,confirmSkip,randomize,timeToAnswer,timeToNextQuestion,pictureAttachment,audioAttachment,videoAttachment,pdfAttachment,webAttachment,attachmentText,lengthLimit,dynamicCondition,rangeSettingsMin,rangeSettingsStepSize,rangeSettingsChoiceSteps,groups
QID6,Are there any things you think we should change about this study for future participants?,TEXT,,,,,,,,,,,,,,,,,,,,,,,
QID14,"Are you aware of what would cause the
study team to call for safety?",TEXT,,,,,,,,,,,,,,,,,,,,,,,
QID15,"Did you adjust any of your answers to
avoid or invite calls from study staff to check in? If so, explain.",TEXT,,,,,,,,,,,,,,,,,,,,,,,
QID8,"Exit Survey
 
Thank you for participating in the last survey of this study. We'd like to hear about your experience in our study and appreciate your thoughts and opinions! ",INFORMATION,,,,,,,,,,,,,,,,,,,,,,,
QID18,"How burdensome did you
find this study? ",SINGLE_CHOICE,1|2|3|4|5,Not at all,Extremely,,,,,,,,,,,,,,,,,,,,
QID16,"How
did you decide when to cash out using StudyPay?",TEXT,,,,,,,,,,,,,,,,,,,,,,,
QID3,How did you feel about completing the phone-based surveys?,TEXT,,,,,,,,,,,,,,,,,,,,,,,
QID5,"How did you feel about our monitoring signals from your phone, such as how many calls and texts you were sending and receiving?",TEXT,,,,,,,,,,,,,,,,,,,,,,,
QID4,How did you feel about wearing the device on your wrist?,TEXT,,,,,,,,,,,,,,,,,,,,,,,
QID17,"How overwhelming did you
find this study? ",SINGLE_CHOICE,1|2|3|4|5,Not at all,Extremely,,,,,,,,,,,,,,,,,,,,
QID7,Is there anything else that you think would be helpful for us to know?,TEXT,,,,,,,,,,,,,,,,,,,,,,,
QID2,What did you like LEAST about participating in this study?,TEXT,,,,,,,,,,,,,,,,,,,,,,,
QID11,What did you like LEAST about the StudyPay app?,TEXT,,,,,,,,,,,,,,,,,,,,,,,
QID1,What did you like MOST about participating in this study?,TEXT,,,,,,,,,,,,,,,,,,,,,,,
QID10,What did you like MOST about the StudyPay app?,TEXT,,,,,,,,,,,,,,,,,,,,,,,
QID9,"What is your participant ID#? (If you can't remember or find it, it's okay.)",TEXT,,,,,,,,,,,,,,,,,,,,,,,
QID12,"What, if any, issues did you have with the StudyPay app?",TEXT,,,,,,,,,,,,,,,,,,,,,,,
QID13,"Which, if any, other gift cards (e.g. CVS, Dunkin Donuts, etc.) would you have liked to have options for?",TEXT,,,,,,,,,,,,,,,,,,,,,,,
